Seed,DesiredNegatives,LegendaryNegatives,SkipTagOne,SkipTagTwo,RandomNegatives
13H3SKK,1,0,1,0,1
1N29VO7,1,0,0,0,0
13RU6BU,1,0,1,0,1
11H45IX,1,0,0,1,0
YRTIEJ,1,0,1,0,0
YZ1S73,1,0,2,0,1
12Y2EKG,1,0,0,1,0
1MME2WT,1,0,0,1,2
14BK996,1,0,1,0,0
11GF5Q7,1,0,0,0,0
S4HVHF,1,0,0,1,1
122SUNB,1,0,0,1,0
1I5TZP3,1,0,1,2,0
ZGMV4U,1,0,2,0,1
12NFY1B,1,0,1,0,1
134LW4U,1,0,0,1,0
117SYB9,1,0,0,0,0
11RP36Q,1,0,1,0,1
14AL35I,1,0,1,0,0
1Q4URAW,1,0,0,0,0
Y6VIZA,1,0,0,1,0
15SZFH3,1,0,0,0,0
13MEVAI,1,0,1,1,0
12L6Q43,1,0,2,0,0
XKQQVQ,1,0,1,2,0
1QPJIHZ,1,1,0,0,0
15PAT4G,1,0,0,1,0
1GFOTYJ,2,1,0,2,
14HTX1F,1,0,1,0,1
1S5Y62Q,1,0,0,1,0
1S75P5F,1,0,2,0,1
13BUSJM,1,0,0,0,0
161CHGK,1,0,0,1,2
16GPWOI,1,0,0,1,4
11TR4CA,1,0,0,0,1
153Z6BP,1,0,0,0,1
16V7JF2,1,0,0,0,0
15OC69A,1,0,1,1,0
1M27PT7,1,0,1,0,1
15XUYZ8,1,0,0,2,0
15YU83A,1,0,0,0,1
1QNOIXH,1,0,0,0,0
15PKQ87,1,0,0,0,0
1RP8SVG,1,0,0,0,0
OH3Q72,1,0,4,0,1
1S14U16,1,0,0,0,1
16HNLG2,1,0,0,0,1
1PD12LL,1,0,0,0,2
16CO8Q9,1,0,1,0,1
1699EH7,1,0,0,1,1
198A18X,1,0,1,0,0
T91DKN,1,0,0,0,0
16ZSJI6,1,0,0,1,1
1QW8UJZ,2,0,0,0,0
162FJCW,1,0,1,1,1
18UVMSX,1,0,2,1,0
15MLOAT,1,0,0,0,1
14FFIOE,1,0,1,0,0
19179YO,1,0,1,0,2
144D5W3,1,0,0,0,1
17AJG1D,1,0,0,1,0
18MDDFD,1,0,3,0,1
1BJRSEC,1,0,1,0,3
19Z9RFN,1,0,0,1,0
1W5NAEX,1,0,2,1,1
1C15C95,1,0,0,0,1
18C2L71,1,0,1,1,2
18DQUV8,1,0,0,0,1
161PAQW,1,0,0,0,1
1ARJUV2,1,0,0,0,2
1BGP6WN,1,0,1,1,0
1CCOLE8,1,0,0,0,1
18X8YQA,1,0,0,0,0
1A6XU4F,1,0,2,0,1
18PRVQA,1,0,0,0,1
1XSSD7Q,1,0,0,0,1
21GUJKR,1,0,0,1,0
198V6HJ,1,0,0,0,2
19L6HEY,1,0,2,0,1
1TV7W5G,1,0,1,0,1
2141M54,1,0,0,0,0
1AHQGQZ,1,0,0,1,1
1BXDS1D,1,0,1,3,3
1BLDRZX,1,0,0,1,1
1AWFN7Q,1,0,1,0,0
1FMXLQN,1,0,0,0,1
1C7EHQP,1,0,1,0,0
18N1H6A,1,0,1,1,1
18SR6SR,1,0,1,1,0
1C74Z16,1,0,2,0,1
18J1VXD,1,0,0,0,0
1W1LUHB,1,0,0,0,1
14G6KE7,1,0,1,1,0
1Z1163Q,1,0,0,1,5
17N2FS8,1,0,1,0,2
1AYMASV,1,0,0,0,0
18ZOTD1,1,0,1,2,1
237CI7Q,1,0,1,0,3
22YTCS2,1,0,0,0,0
1CIUR1E,1,0,1,0,1
1FMSLGD,1,0,1,1,0
24W9M95,1,0,0,0,0
19XWACN,1,0,1,2,0
1EVYJRU,1,0,0,0,0
