Seed,Score,Blueprint,Brainstorm,OopsAll6s,LuckyCat,Hack,None,NegativeSkipTags,NegativeRandomJokers
1CWJ8O6 ,2,1,0,0,0,1,0,1,0
1I29DFP ,1,0,0,0,0,2,0,0,0
1EIQA36 ,1,0,0,0,0,1,0,0,0
1BRAQJY ,1,0,0,0,0,1,0,2,0
1ETD1FO ,1,0,0,0,0,1,0,0,0
1IS6FRD ,2,1,0,0,0,1,0,0,0
1FKBWKC ,1,0,0,0,0,1,0,0,0
1B87YHE ,2,0,0,1,0,1,0,0,0
1G9Q8DY ,2,0,0,1,0,1,0,1,0
1EBRQNT ,1,0,0,0,0,1,0,0,0
1ENY9QD ,2,0,2,0,0,1,0,1,0
1FPMMVK ,1,0,0,0,0,1,0,0,0
1H5Q81D ,1,0,0,0,0,1,0,2,0
1CMJLQ2 ,2,0,1,0,0,2,0,0,0
1GFY7VJ ,2,0,0,0,1,1,0,0,0
1CU9CLO ,1,0,0,0,0,1,0,0,0
1CWN4MA ,1,0,0,0,0,1,0,0,0
1D3FFOF ,1,0,0,0,0,1,0,1,0
1GQG3GZ ,1,0,0,0,0,1,0,0,0
1GDQDU1 ,2,1,0,0,0,3,0,0,0
1J2Q6NJ ,2,0,1,0,0,2,0,0,0
1H6KGRY ,1,0,0,0,0,1,0,0,0
1H2I5QZ ,1,0,0,0,0,1,0,0,0
1FNXUJT ,2,0,0,0,2,1,0,1,0
1F7HI1K ,1,0,0,0,0,1,0,1,1
1GTOXH5 ,2,0,0,0,1,2,0,1,0
1FNT28X ,1,0,0,0,0,1,0,0,0
1FP89DR ,3,1,0,8,0,1,0,0,0
1HQZ6UD ,1,0,0,0,0,1,0,0,0
1FAGMAU ,1,0,0,0,0,1,0,2,0
1FCHMHA ,1,0,0,0,0,1,0,0,0
1FCOLS9 ,2,0,0,1,0,1,0,0,0
1HK8NHC ,1,0,0,0,0,1,0,0,0
1GK93OY ,1,0,0,0,0,1,0,2,0
1JGBYZ2 ,1,0,0,0,0,1,0,0,0
1KH1RBG ,1,0,0,0,0,1,0,0,0
1G5XLXZ ,3,2,0,0,2,1,0,0,0
1K61X6K ,1,0,0,0,0,1,0,1,0
1I8O7HF ,1,0,0,0,0,1,0,0,0
1JRB7KC ,1,0,0,0,0,2,0,0,0
1LG7FJP ,1,0,0,0,0,1,0,1,0
1NLIJFY ,1,0,0,0,0,1,0,0,1
1I6K815 ,1,0,0,0,0,1,0,0,0
1MQG6AC ,2,0,0,0,1,1,0,2,0
1KFB1YC ,2,0,0,0,1,1,0,1,1
1K6H37T ,2,1,0,0,0,1,0,0,0
1NHPX5J ,2,0,1,0,0,1,0,0,0
1QJ6KKQ ,1,0,0,0,0,1,0,2,0
1NOWL83 ,2,0,0,1,0,1,0,1,0
1JFWWAA ,1,0,0,0,0,1,0,0,1
1RFF9RU ,3,2,1,0,0,1,0,0,0
1P9T22Y ,2,0,0,1,0,1,0,0,0
1LS57LP ,1,0,0,0,0,2,0,0,0
1LHNMOQ ,2,0,1,0,0,1,0,1,0
1LSBU8M ,1,0,0,0,0,4,0,0,0
1OYUDZ1 ,1,0,0,0,0,1,0,0,0
1QFA1AF ,3,0,1,0,1,1,0,0,0
1SJKYLU ,2,0,0,0,1,2,0,1,0
1QFGMQF ,2,0,1,0,0,6,0,1,0
1NBV3OS ,1,0,0,0,0,1,0,0,0
1LT6YDF ,1,0,0,0,0,1,0,0,0
1M4ZEXP ,1,0,0,0,0,1,0,2,0
1Q8NTI9 ,1,0,0,0,0,1,0,3,1
1QNNF3F ,1,0,0,0,0,1,0,0,0
1NS8MKO ,3,0,0,1,1,1,0,0,0
1QFPOK6 ,2,0,0,0,1,4,0,0,0
1PQBV22 ,1,0,0,0,0,1,0,1,1
1RSLIFH ,1,0,0,0,0,1,0,2,0
1T4TDSH ,1,0,0,0,0,1,0,0,0
1UGPDVL ,1,0,0,0,0,2,0,0,0
1T5ESEO ,1,0,0,0,0,1,0,0,0
1RFSSXA ,3,2,0,0,2,1,0,2,0
1PG5L7V ,2,0,1,0,0,1,0,1,0
1OOF37H ,2,0,0,1,0,1,0,0,0
1NEFAIP ,1,0,0,0,0,3,0,0,1
21EZUTW ,3,0,1,2,0,1,0,0,0
1ROG7VK ,1,0,0,0,0,1,0,0,0
1PK77A1 ,1,0,0,0,0,1,0,0,0
1V61P51 ,2,0,0,0,1,1,0,0,0
1USMIE3 ,1,0,0,0,0,1,0,1,0
1QL98D9 ,2,0,0,0,1,1,0,0,0
1T6392F ,1,0,0,0,0,2,0,0,0
1W8HLZL ,3,1,0,1,0,1,0,0,1
1TN2T68 ,1,0,0,0,0,1,0,0,0
23OH61V ,2,0,1,0,0,1,0,2,0
1RL4TBW ,1,0,0,0,0,1,0,1,0
1VU8Z7K ,1,0,0,0,0,1,0,1,1
1W9FOPB ,2,0,0,1,0,2,0,0,0
1QIDU5T ,1,0,0,0,0,1,0,0,0
