Seed,Blurprint,Brainstorm,DNA,Burnt,Oops,Space,Negatives
C8PNVP,0,1,0,0,0,0,0
CIY5ZE,0,1,0,0,0,1,0
CKWCFP,0,1,0,0,0,0,0
CEGHWE,0,1,0,0,0,0,0
D3GDOY,1,1,0,0,0,0,1
CZ9YXR,0,1,0,0,0,1,1
CFXR4I,0,1,0,0,0,0,2
CFVOKI,0,1,0,1,0,0,1
CT2OSW,0,1,0,0,0,0,3
CPDN2T,0,1,0,0,0,0,2
CEUK3C,0,1,0,0,0,0,1
D1PZT1,0,1,0,0,0,0,2
CS36E4,0,1,0,0,0,1,0
D36D6Q,0,1,1,0,0,0,2
D9I9Z9,0,1,0,0,0,0,1
CW42SF,0,1,0,1,0,0,0
CX4UXX,0,1,0,0,1,0,0
D3ORPU,0,1,0,0,0,1,1
E2NCV4,0,2,0,0,0,0,2
D2QG8P,0,1,0,0,0,0,1
D3XWHL,0,1,0,0,0,0,2
DGF9YF,0,1,0,1,0,0,0
D87ZOP,0,1,0,0,0,0,0
DBC7EO,1,1,0,0,0,0,0
DV9XEF,0,2,0,0,0,0,0
EBLVSL,0,2,0,1,1,1,1
DIOYUR,1,1,0,0,0,0,1
E64Y68,1,1,1,0,0,0,1
DP8R7W,0,1,0,0,1,0,1
DT4FJG,0,1,0,1,0,1,1
DHM7L9,1,1,0,0,0,0,1
DKYOMP,0,1,0,0,0,0,1
ESMGJX,0,1,0,0,0,0,2
DQGAVK,0,1,0,0,0,0,3
DQKC5Q,0,1,1,0,0,0,3
EQJUWH,0,1,0,0,0,0,0
DNVNKA,0,1,0,0,0,0,1
EGOEVW,0,1,0,0,0,1,0
ECL3AM,0,1,0,0,0,0,1
ECOX9U,0,1,0,0,1,0,0
ERBTGW,0,1,0,0,0,0,0
E337V1,0,1,0,0,0,1,1
EH3LAE,0,1,0,0,0,0,1
EN47K6,0,1,0,0,0,0,2
EY1K1X,0,1,0,0,0,0,0
EKRS1V,0,1,0,0,0,0,1
EBSR6N,0,1,0,0,0,0,1
ECJT5O,0,1,0,0,0,1,0
EM7Q5T,0,1,0,0,1,0,0
E9D2QY,0,1,0,0,0,0,0
ERHVU2,0,1,0,0,0,0,2
F7JLAU,3,1,0,0,0,1,0
EJPDSZ,1,1,0,0,0,0,0
EQ21MZ,0,1,0,0,0,0,1
FL2MI2,0,1,0,0,0,0,0
F37UBR,0,1,0,0,1,0,0
ETKC3X,0,1,0,0,0,0,0
EXXIY6,0,1,0,0,0,0,1
F2N1FT,0,1,0,0,0,0,1
F8LYDY,0,1,0,0,0,1,0
F4F2M2,0,1,1,0,0,0,0
F4N6FM,0,1,0,1,0,0,0
FGF9QL,0,1,0,0,0,1,2
FBUZJS,1,1,1,0,0,0,1
GKWBSG,0,1,0,0,0,1,0
FG2AAB,0,1,0,0,0,0,1
FLNFHR,0,1,0,0,0,0,0
FJVE4P,0,1,0,0,0,0,1
GHII2A,0,1,0,0,0,0,1
FSJY5Y,0,1,0,1,0,1,0
FJ3DOF,0,1,0,0,0,0,0
G3WSYG,0,1,0,0,0,0,2
FTE4UO,0,1,0,0,1,0,2
FW7RBA,0,2,0,0,0,0,1
GCFFQZ,0,1,0,0,0,0,1
GG4ZCH,0,1,0,0,0,0,1
GZ2MAY,0,1,0,0,0,0,0
G7QWV5,0,2,0,0,0,0,0
H145KK,0,1,0,0,0,1,1
GORX8P,0,1,0,0,0,1,0
GO4TZG,0,1,0,0,0,0,1
GXXPDT,0,1,0,0,1,0,2
GWDXCB,1,1,1,0,0,0,1
HZ75DE,0,1,0,0,0,0,0
H1I3NJ,0,1,1,0,1,0,3
H2GN18,0,1,0,0,0,0,1
H6OHN3,0,1,0,0,0,0,1
I9LV8Z,0,1,0,0,0,0,1
I668YL,1,1,0,0,0,0,1
HBRLWC,0,1,0,0,0,1,0
HAJ728,0,1,0,0,0,0,0
H84G8K,0,1,0,1,0,1,0
IQV1NK,1,1,0,0,0,0,0
HJAS3X,0,1,0,0,0,1,2
H69F7D,0,1,0,0,0,0,0
H8CHI8,0,1,0,0,0,0,1
HYJAFQ,0,1,1,0,1,0,0
HRF731,0,1,0,0,0,1,0
HWXWY9,0,1,0,0,0,0,1
H947SR,0,1,0,0,0,0,1
HYY9VR,0,1,0,0,0,0,1
I1KY81,0,1,0,0,0,0,3
I2VJZ9,0,1,0,0,0,0,0
I7CLUW,0,1,0,0,0,0,0
I8MYAT,1,1,0,0,1,1,2
I6URRW,0,1,0,0,1,1,1
I6BM8M,0,1,0,0,1,1,0
JDKMHQ,0,1,0,0,0,0,1
J4C7JN,0,1,0,0,0,0,1
I54W9K,0,1,0,0,0,1,0
I22E72,0,1,0,1,0,0,1
IXXZNU,0,1,0,0,0,0,0
IHH39T,0,1,0,0,0,0,1
IDNMAS,0,1,0,0,0,0,0
IGEQC3,0,1,0,0,0,0,1
I69EKX,1,1,0,0,1,0,0
J8TI3C,0,1,0,0,0,1,0
IDFIJ7,0,1,0,0,0,0,1
J21H21,0,1,0,0,0,1,0
IUXALT,0,1,0,0,0,0,2
K7QZNF,0,1,0,0,0,0,1
JT43HB,0,2,0,0,0,0,1
IQYIL6,0,1,0,1,0,1,1
IKZGT6,0,1,0,0,1,1,1
J3OK8O,0,1,0,0,0,0,1
JE71KU,0,1,0,0,0,0,0
JUN27W,0,1,0,0,0,0,0
JCLMCU,0,1,0,0,0,0,1
IY86GA,0,1,0,0,0,0,0
IV4DOG,0,1,0,0,0,0,0
KB44JN,0,1,1,0,0,0,1
JDUFIZ,0,1,0,0,0,0,0
JGBDXK,0,1,0,0,0,0,0
J4EHQQ,0,1,0,0,0,0,1
J8TJJD,0,1,1,0,0,0,2
KVTH8S,0,1,0,0,2,0,1
JFLJIF,0,1,0,0,0,0,1
L76TEQ,0,1,0,0,0,0,0
JU66EQ,0,1,0,0,0,1,0
JX9PZO,0,1,0,0,0,0,1
KBB1K7,0,1,0,1,0,0,1
K582CQ,0,1,0,0,0,0,0
K4G6LH,0,1,0,0,1,0,1
JPW4SM,0,1,0,0,0,0,0
LIH8TF,0,1,0,0,1,0,1
KDVMH4,0,1,0,0,0,0,0
KWIMEO,1,1,0,0,0,0,1
KFZ3QJ,0,1,1,0,1,0,0
KK9LGD,0,1,0,0,0,1,1
LPW5AH,0,1,0,1,1,0,1
LIRBZE,0,1,0,0,1,0,0
K78CP5,0,1,0,0,2,0,2
KLP25B,1,1,0,0,1,0,0
MHMWUK,0,1,1,0,1,0,1
M4V6JT,0,1,0,0,0,1,1
KWTPHQ,1,1,0,0,0,0,2
LBZQ6T,0,1,0,0,0,0,1
MLRPHJ,0,1,0,0,0,0,1
KUUZ7Y,0,1,0,0,0,1,1
KUS8SZ,0,1,0,0,0,0,1
LM6CHG,0,2,0,0,0,0,1
LINCP6,0,1,0,0,0,0,1
LKXCUX,0,1,0,0,0,0,1
LULFMP,0,1,0,0,0,0,3
KRTGHP,0,1,0,0,1,1,1
M8APAS,0,1,0,0,0,0,0
MK795Y,0,1,0,0,0,1,1
LTETFI,0,1,1,0,0,0,0
N7VKL5,0,1,0,0,0,0,1
L5IOFI,1,1,0,0,0,0,1
M4OSJT,0,1,0,0,0,0,1
MX4JRR,0,1,0,0,1,0,2
MBPMYN,0,1,0,0,0,0,0
MG9NNU,0,1,0,0,0,0,1
MH6MXZ,1,1,0,0,0,0,1
NGMAPW,0,1,0,0,0,0,0
MW5PZP,0,1,0,0,0,1,1
NP2GUR,0,1,0,0,0,0,1
M9O1QY,0,1,0,0,0,0,5
LUTH1A,0,1,0,0,1,0,1
O8XOWE,0,1,0,0,0,0,2
NPGDF1,0,1,0,0,1,0,3
NIHQ1J,0,1,1,0,0,0,0
N1PLXR,0,1,0,1,0,0,0
N2UOAD,0,1,0,0,0,0,0
MM6L3H,0,1,0,0,0,0,0
O5ELDP,1,1,0,0,0,0,1
MW7P6K,0,1,0,0,0,0,0
NQXMVC,0,1,0,0,0,0,0
NQIK3N,0,1,0,0,0,0,1
NKZ1ML,0,1,0,0,0,0,0
MSMJML,0,1,1,0,0,0,0
OD2ZL8,0,1,1,0,0,0,0
PHNZJ3,0,1,2,0,1,0,0
OMJ6WE,0,1,1,0,0,0,1
NWN81C,0,1,0,0,0,0,1
N1XUXP,0,1,0,0,0,0,1
O3CARQ,1,1,0,0,0,1,1
O9XRFH,0,1,1,0,0,1,0
O1Y3SB,0,1,0,0,0,0,2
NJQH8M,0,1,0,0,0,0,1
OFR3Z8,0,1,0,0,1,1,1
OUDV69,0,1,0,0,0,0,0
PYAJXB,0,1,1,0,0,0,1
PXG8BP,0,1,0,0,0,1,0
