Seed,Score,Blurprint,Brainstorm,Burnt_Joker,Space_Joker,Oops_All_6s,DNA,NegativeTags,NegativeJokers
1LNEVDQ ,3,1,0,1,0,1,0,1,0
1LS3KH7 ,1,1,0,0,0,0,0,1,0
1LVERJ5 ,2,1,1,0,0,0,0,1,0
1MUUYNG ,3,1,0,1,1,0,0,2,0
1MXQ8KR ,2,1,1,0,0,0,0,1,0
1NCV7G7 ,4,1,1,2,3,0,0,1,0
1NJFH5  ,2,1,0,0,0,1,0,2,0
1NSBVCT ,3,1,0,1,0,0,1,0,0
1NWKRO  ,2,1,0,0,0,1,0,0,0
1OFJP2N ,3,1,0,0,1,1,0,0,0
1OGR9WC ,1,1,0,0,0,0,0,1,0
1OIOQYL ,1,1,0,0,0,0,0,1,0
1OTO31D ,3,1,0,0,0,1,1,1,0
1P52RFM ,1,1,0,0,0,0,0,0,0
1PLPRY8 ,1,1,0,0,0,0,0,0,0
1Q13SXY ,3,1,1,0,0,1,0,1,0
1QXMVHV ,2,1,0,0,0,0,1,0,0
1R4HBW  ,1,1,0,0,0,0,0,2,0
1R5U4YR ,2,1,1,0,0,0,0,1,1
1RAFTF6 ,1,1,0,0,0,0,0,1,0
1RO7CHF ,4,2,1,0,0,1,1,0,0
1RUDYX  ,1,1,0,0,0,0,0,1,0
1RXLMF9 ,3,1,0,1,0,1,0,1,0
1RZ7ZLZ ,2,1,1,0,0,0,0,0,1
1S31FE  ,3,1,0,1,0,1,0,0,0
1SARAG2 ,3,1,0,1,0,1,0,2,0
1SHW7JP ,2,1,1,0,0,0,0,1,0
1SN5D4Z ,2,1,0,0,0,1,0,0,0
1SO8AN9 ,1,1,0,0,0,0,0,0,0
1SYQRYK ,2,1,1,0,0,0,0,0,0
1TFFNND ,1,1,0,0,0,0,0,2,0
1UAA695 ,3,1,1,0,0,1,0,1,0
1UGS7ZN ,3,1,1,0,0,1,0,1,0
1VTDD3  ,2,1,0,0,1,0,0,0,0
1VVEJX  ,3,1,0,0,0,1,1,2,0
1WMG92  ,3,1,0,1,0,1,0,0,1
1WP96Y1 ,3,1,0,0,1,0,1,2,0
1WZ7QC  ,2,1,0,0,0,1,0,1,0
1X4D6UH ,3,1,1,0,1,0,0,1,0
1ZWC3H3 ,2,1,1,0,0,0,0,0,0
1ZXPUH7 ,3,1,1,0,1,0,0,1,0
1ZYTXP  ,2,1,0,0,0,0,1,1,0
1ZZXCQU ,2,1,0,1,0,0,0,1,0
21XD25A ,1,1,0,0,0,0,0,1,0
21XRO11 ,2,1,0,1,0,0,0,1,0
22EARRL ,4,1,1,1,0,1,0,3,0
234R4Y  ,1,1,0,0,0,0,0,0,0
237JSI3 ,3,1,0,0,0,1,1,1,0
23R9SJA ,3,1,0,0,1,1,0,3,0
23SQGR  ,2,1,1,0,0,0,0,1,0
23U5SK  ,4,1,0,1,1,1,0,2,1
24IP52  ,1,1,0,0,0,0,0,3,0
24OJ5U  ,1,1,0,0,0,0,0,0,1
24U8J5G ,2,1,1,0,0,0,0,0,0
26395J  ,1,1,0,0,0,0,0,0,0
27OB5   ,2,1,0,0,0,1,0,1,0
28IKBW  ,2,1,0,0,0,1,0,1,0
29FJB4F ,3,1,1,0,0,1,0,0,0
2A8FAB  ,1,1,0,0,0,0,0,0,0
2AFNTK1 ,3,1,1,0,0,1,0,0,0
2AMIWK  ,1,1,0,0,0,0,0,1,0
2ASVNQ  ,1,1,0,0,0,0,0,1,0
2AXXSW  ,2,1,1,0,0,0,0,0,0
2BOJTM2 ,2,1,1,0,0,0,0,0,1
2BU9CCV ,3,1,0,0,1,1,0,1,0
2C6NRIK ,2,1,0,1,0,0,0,3,0
2CB33SG ,2,1,0,1,0,0,0,1,0
2CI9LLI ,2,1,1,0,0,0,0,1,0
2CO1BND ,4,1,0,1,1,0,1,0,0
2CUGQL7 ,2,1,1,0,0,0,0,0,0
2EKSAEN ,3,1,0,0,0,1,1,1,0
2FDZJQ  ,2,1,1,0,0,0,0,1,0
2GNA7J1 ,3,1,0,1,0,1,0,1,0
2GXB7DC ,2,2,0,0,0,0,1,0,0
2HFNSC  ,4,1,0,1,1,1,0,0,0
2I67UR  ,1,1,0,0,0,0,0,2,0
2JH63G7 ,2,1,0,1,0,0,0,1,0
2KGO4ZO ,2,1,1,0,0,0,0,1,0
2KMPS9N ,3,1,0,1,1,0,0,0,0
2KOIV7  ,2,1,0,0,0,1,0,0,0
2L7CXY  ,2,1,0,0,1,0,0,1,0
2M8WZZ7 ,3,1,0,0,1,0,1,0,0
2MAF957 ,3,1,0,0,1,0,1,1,0
2MPGNKV ,3,1,0,0,1,0,1,0,1
2N7ECX  ,2,1,1,0,0,0,0,0,0
2NLDE7  ,1,1,0,0,0,0,0,0,0
2NU9P4B ,2,1,1,0,0,0,0,1,0
2O689H  ,2,1,0,0,0,1,0,1,0
2P2S4R6 ,4,1,0,1,0,1,1,0,0
2PWQEJE ,2,2,0,1,0,0,0,1,1
2QQBIN  ,1,1,0,0,0,0,0,2,0
2TRQUK  ,1,1,0,0,0,0,0,1,0
2TVFNBK ,2,1,0,1,0,0,0,2,0
2U2FLE  ,1,1,0,0,0,0,0,1,0
2UBUC8J ,4,1,0,1,1,1,0,1,0
2URCKV  ,2,1,0,0,0,0,1,2,1
2UZHUC  ,2,1,0,0,0,1,0,0,0
2XF95Y  ,2,1,0,0,0,0,1,0,0
2YKMX1  ,1,1,0,0,0,0,0,1,0
31EVETO ,3,1,0,1,0,1,0,1,0
33G62MI ,2,1,1,0,0,0,0,0,0
36TTFP  ,1,1,0,0,0,0,0,0,0
3914T7  ,1,1,0,0,0,0,0,0,0
39392L  ,1,1,0,0,0,0,0,0,0
39SNL7  ,1,1,0,0,0,0,0,0,0
3AA9TA  ,2,1,0,0,0,0,1,2,0
3ADXZIW ,2,1,1,0,0,0,0,1,0
3AYJUJ  ,3,1,0,1,1,0,0,0,0
3B5XSW  ,2,1,0,0,1,0,0,0,0
3DZ4MO  ,2,1,0,0,0,1,0,0,0
3GO22I  ,1,1,0,0,0,0,0,1,0
3H9NPB  ,2,1,0,0,1,0,0,1,0
3HI4RD  ,2,1,0,0,1,0,0,0,0
3JJIQR  ,2,1,0,0,0,1,0,3,0
3JZS1X  ,1,1,0,0,0,0,0,1,0
3K6SNQ  ,1,1,0,0,0,0,0,0,0
3KB9JD  ,2,1,0,0,0,1,0,0,1
3KWAZO  ,1,1,0,0,0,0,0,0,0
3LGXOS  ,1,1,0,0,0,0,0,1,0
3MNCP6  ,2,1,0,0,0,0,1,0,1
3N6RNV  ,3,1,0,1,1,0,0,1,0
3NDFGT  ,2,1,1,0,0,0,0,1,0
3OLSUW  ,3,1,1,0,0,0,1,1,0
3R7R36  ,3,1,0,1,1,0,0,1,0
3ROPDY  ,1,1,0,0,0,0,0,0,0
3T2ZTPZ ,3,1,1,1,0,0,0,2,0
3TIOU2  ,1,1,0,0,0,0,0,0,0
3V4MA4  ,2,1,1,0,0,0,0,1,0
3XJC9M  ,2,1,0,1,0,0,0,0,0
3ZBVDV  ,1,1,0,0,0,0,0,1,0
42KI4Z  ,1,1,0,0,0,0,0,1,0
43FVRG  ,4,1,0,1,1,0,1,1,0
43GQ4E  ,2,1,0,0,0,1,0,1,0
43ZGBC  ,2,1,1,0,0,0,0,2,0
44G6BM  ,2,1,0,0,0,1,0,1,0
484R95  ,1,1,0,0,0,0,0,1,0
49AEJ27 ,3,1,1,1,0,0,0,0,0
