Seed,Score,Negative_Jokers,Negative_Blueprint,Negative_Brainstorm,Blueprint,Brainstorm,Perkeo,Odd_Todd,Negative_Odd_Todd,9,Magic_Trick,Illusion,DNA,Pareidolia,Golden_Ticket
F92XBA1I,33,0,0,0,0,0,1,0,0,12,1,1,1,0,0
F956XEFO,33,1,0,0,0,0,1,0,0,11,1,0,1,2,0
F99FMC3A,33,0,0,0,0,0,1,0,0,13,1,1,0,0,0
F9A55V8P,33,1,0,0,0,0,1,1,0,10,1,1,0,0,2
F9G8QMA4,33,1,0,0,0,0,1,2,0,11,1,1,0,0,0
F9GYK4I1,33,2,0,0,1,0,1,1,0,10,0,0,1,1,0
F9H21WNP,33,2,0,0,0,0,1,1,0,12,0,0,1,0,0
FEDZP4,33,0,0,0,0,0,1,0,0,12,1,0,1,1,0
KBPX1CAW,33,2,0,0,0,1,1,1,0,11,1,0,0,0,0
KBPXAW6K,33,0,0,0,0,1,1,1,0,11,1,0,0,1,0
LMDCQ8B,33,0,0,0,0,1,1,1,0,11,1,1,0,0,0
LMTSRPL,33,0,0,0,0,0,1,1,0,12,1,0,0,1,0
LOJGG69,33,0,0,0,0,0,1,1,0,12,1,1,0,0,0
LONHK2R,33,0,0,0,1,1,1,1,0,10,1,0,0,0,1
LOWQCHC,33,0,0,0,0,1,1,1,0,11,1,1,0,0,0
RUD6P3WN,33,0,0,0,0,0,1,1,0,14,0,0,0,0,0
RUGGW7EL,33,0,0,0,1,1,1,1,0,10,1,0,0,1,0
RUHRAP8T,33,0,0,0,1,1,1,1,0,10,1,0,0,1,0
RUK5F12G,33,0,0,0,0,0,1,1,0,12,1,0,1,0,0
RUKS4XE2,33,0,0,0,0,1,1,0,0,10,1,1,1,1,0
RUN2KHIM,33,0,0,0,0,0,1,0,0,12,1,1,1,0,0
RUN51ZUE,33,0,0,0,0,0,1,1,0,12,1,1,0,0,0
RUQ6Y14X,33,0,0,0,0,0,1,1,0,11,1,1,0,1,0
RUR3SS2N,33,0,0,0,0,0,1,1,0,11,1,0,1,1,0
RUSLOR3W,33,0,0,0,0,1,1,1,0,11,1,0,1,0,0
RUUNHRKN,33,0,0,0,0,0,1,1,0,11,1,1,1,0,0
